Trial No.,Arena No.,Rep,Species,Treatment,Location of Treatment,Location of Treatment,Distance moved (cm),Velocity (cm/s),Frequency of entering Kernel Zone 2,Cumulative Duration in Kernel Zone 2 (s),Latency to First Entrance of Kernel Zone 2 (s),Frequency of entering Kernel Zone 1,Cumulative Duration in Kernel Zone 1 (s),Latency to First Entrance of Kernel Zone 1 (s),Frequency of entering  Zone 2,Cumulative Duration in Zone 2 (s),Latency to First Entrance of Zone 2 (s),Frequency of entering  Zone 1,Cumulative Duration in Zone 1 (s),Latency to First Entrance of Zone 1 (s),Movement,Turn angle
Trial    13,Arena 5,8,CB,FS grain vs. Ctrl,Zone 2,Kernel Zone 2,97.8957,0.0547296,0,0,-,0,0,-,9,1003.76,271.797,7,786.925,0,1784.38,179.749
Trial    21,Arena 4,16,CB,UV Sterilized Grain vs. Ctrl,Zone 2,Kernel Zone 2,98.8281,0.0800668,49,159.965,20.4331,15,14.4999,62.7994,394,1305.19,0.133332,331,282.097,0,1408.52,172.618
Trial    14,Arena 5,9,CB,AF grain vs. Ctrl,Zone 2,Kernel Zone 2,110.717,0.065345,1,0.966657,678.627,1,8.96658,688.16,39,1193.45,22.6998,7,510.528,0,1693.82,-
Trial    10,Arena 4,5,CB,AF grain vs. Ctrl,Zone 2,Kernel Zone 2,113.691,0.0708777,0,0,-,0,0,-,10,171.032,0,5,1435.22,16.4998,1598.55,-
Trial    15,Arena 4,10,CB,AF grain vs. Ctrl,Zone 2,Kernel Zone 2,121.173,0.0750447,0,0,-,2,48.0329,69.1993,6,818.325,176.432,4,798.092,0,1608.25,-
Trial    11,Arena 1,6,CB,Normal Grain vs. Ctrl,Zone 2,Kernel Zone 2,126.314,0.174357,0,0,-,0,0,-,10,421.562,0,219,355.696,286.53,733.559,-
Trial    16,Arena 4,11,CB,UV Sterilized Grain vs. Ctrl,Zone 2,Kernel Zone 2,139.649,0.27492,0,0,-,0,0,-,12,313.897,43.0662,13,198.631,0,501.195,-
Trial     7,Arena 1,2,CB,FS grain vs. Ctrl,Zone 2,Kernel Zone 2,149.25,0.086531,0,0,-,2,2.36664,301.63,9,450.629,4.29996,16,1278.15,0,1718.02,-
Trial    23,Arena 4,18,CB,Normal Grain vs. Ctrl,Zone 2,Kernel Zone 2,150.444,0.289115,9,3.66663,8.49991,0,0,-,305,314.797,0,261,348.23,25.0997,577.994,176.57
Trial    20,Arena 2,15,CB,Normal Grain vs. Ctrl,Zone 2,Kernel Zone 2,174.48,0.108556,7,51.4995,55.2661,0,0,-,38,978.024,50.2995,86,689.96,0,1642.02,176.342
Trial    15,Arena 5,10,CB,UV Sterilized Grain vs. Ctrl,Zone 2,Kernel Zone 2,192.487,0.107586,0,0,-,0,0,-,10,325.53,373.83,8,1465.75,0,1778.32,-
Trial    10,Arena 2,5,CB,Normal Grain vs. Ctrl,Zone 2,Kernel Zone 2,193.913,0.181206,1,1.96665,1115.82,0,0,-,12,828.792,0,5,243.098,1155.29,1058.79,-
Trial    12,Arena 3,7,CB,UV Sterilized Grain vs. Ctrl,Zone 2,Kernel Zone 2,199.568,0.205998,0,0,-,3,4.69995,318.097,12,594.461,0,6,375.896,305.564,957.19,-
Trial    16,Arena 1,11,CB,Normal Grain vs. Ctrl,Zone 2,Kernel Zone 2,212.36,0.121303,0,0,-,3,12.7332,827.392,16,539.928,600.294,9,1213.29,0,1738.88,-
Trial    17,Arena 1,12,CB,FS grain vs. Ctrl,Zone 2,Kernel Zone 2,222.65,0.177181,0,0,-,2,2.03331,36.8663,22,1140.99,7.93325,11,120.432,0,1245.49,-
Trial     5,Arena 3,1,CB,AF grain vs. Ctrl,Zone 2,Kernel Zone 2,242.187,0.135939,0,0,-,0,0,-,11,1247.95,0,10,449.529,0.866658,1767.32,-
Trial    11,Arena 3,6,CB,AF grain vs. Ctrl,Zone 2,Kernel Zone 2,243.185,0.142797,0,0,-,4,11.8999,139.865,15,291.064,0,9,1414.19,28.933,1688.95,176.746
Trial    13,Arena 4,8,CB,Normal Grain vs. Ctrl,Zone 2,Kernel Zone 2,243.215,0.139452,0,0,-,1,1.76665,1127.46,19,536.728,0,53,1221.69,17.1998,1735.85,-
Trial    17,Arena 4,12,CB,Ctrl vs. Ctrl,Zone 2,Kernel Zone 2,254.795,0.158607,0,0,-,2,3.59996,1565.38,27,1403.42,0,34,214.398,24.7331,1596.22,-
Trial    10,Arena 1,5,CB,Ctrl vs. Ctrl,Zone 2,Kernel Zone 2,259.532,0.144296,4,8.03325,616.527,3,6.93326,179.498,10,458.629,0,10,1341.42,35.033,1783.05,-
Trial    10,Arena 5,5,CB,UV Sterilized Grain vs. Ctrl,Zone 2,Kernel Zone 2,262.706,0.278647,0,0,-,0,0,-,15,767.892,0,9,176.698,185.731,927.057,-
Trial    19,Arena 5,14,CB,AF grain vs. Ctrl,Zone 2,Kernel Zone 2,270.499,0.168923,2,5.19995,521.261,2,6.19994,705.593,31,396.329,0,42,1217.69,2.16664,1594.62,178.896
Trial    17,Arena 5,12,CB,Normal Grain vs. Ctrl,Zone 2,Kernel Zone 2,285.96,0.379664,2,2.39998,410.096,3,4.53329,630.86,26,543.195,29.4664,9,213.331,0,737.193,-
Trial     7,Arena 2,2,CB,AF grain vs. Ctrl,Zone 2,Kernel Zone 2,302.522,0.16821,0,0,-,1,1.16665,1195.62,11,1268.89,0,10,531.161,116.332,1780.28,-
Trial     5,Arena 2,1,CB,FS grain vs. Ctrl,Zone 2,Kernel Zone 2,304.415,0.342813,0,0,-,0,0,-,13,304.264,18.3665,12,584.861,0,869.091,-
Trial     9,Arena 1,4,CB,UV Sterilized Grain vs. Ctrl,Zone 2,Kernel Zone 2,310.124,0.172706,0,0,-,0,0,-,16,1080.36,4.03329,15,717.126,0,1777.05,-
Trial    18,Arena 3,13,CB,Ctrl vs. Ctrl,Zone 2,Kernel Zone 2,313.414,0.321751,4,20.1998,136.232,3,4.03329,168.598,56,326.863,0,336,740.726,2.76664,985.99,179.4
Trial     8,Arena 3,3,CB,Ctrl vs. Ctrl,Zone 2,Kernel Zone 2,315.944,0.176215,1,2.29998,1439.39,3,5.53328,196.265,14,782.226,13.7332,10,1013.16,0,1774.32,-
Trial    15,Arena 1,10,CB,Ctrl vs. Ctrl,Zone 2,Kernel Zone 2,318.881,0.177335,0,0,-,2,5.56661,618.394,14,1071.76,145.065,13,728.059,0,1778.88,-
Trial     9,Arena 5,4,CB,AF grain vs. Ctrl,Zone 2,Kernel Zone 2,330.07,0.199714,4,3.7333,632.46,4,16.5665,805.759,40,1079.32,0,19,578.328,42.8329,1634.88,-
Trial    16,Arena 2,11,CB,FS grain vs. Ctrl,Zone 2,Kernel Zone 2,360.29,0.40171,8,7.26659,452.195,0,0,-,54,782.526,9.06658,386,174.498,0.733326,882.725,120.021
